epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
5,train,4,hihat_closed,0.3088681995868683,0.4288123548030853,0.3590890169143677,0.42499998211860657,3051.0,6827.0,4064.0,91709.0,7115.0
5,train,5,hihat_open,0.3002553880214691,0.427754670381546,0.3528403043746948,0.44999998807907104,2469.0,5754.0,3303.0,94125.0,5772.0
5,train,6,tom,0.48405709862709045,0.6501434445381165,0.554939866065979,0.42499998211860657,12919.0,13770.0,6952.0,72010.0,19871.0
5,train,7,floor_tom,0.4541725218296051,0.5183122158050537,0.4841272234916687,0.3999999761581421,8746.0,10511.0,8128.0,78266.0,16874.0
5,train,8,vibraslap,0.15419073402881622,0.3785817623138428,0.219132199883461,0.32499998807907104,1308.0,7175.0,2147.0,95021.0,3455.0
5,train,9,crash,0.30929264426231384,0.09124386310577393,0.14091627299785614,0.5,223.0,498.0,2221.0,102709.0,2444.0
5,train,10,ride_bow,0.29777735471725464,0.5120038986206055,0.3765539526939392,0.5,3135.0,7393.0,2988.0,92135.0,6123.0
5,train,11,ride_bell,0.19455252587795258,0.2442428469657898,0.21658414602279663,0.574999988079071,350.0,1449.0,1083.0,102769.0,1433.0
5,train,12,chinese_cymbal,0.35161134600639343,0.4276104271411896,0.3859046995639801,0.574999988079071,1462.0,2696.0,1957.0,99536.0,3419.0
5,train,13,splash_cymbal,0.44715285301208496,0.3381686210632324,0.38509851694107056,0.5,2238.0,2767.0,4380.0,96266.0,6618.0
6,train,0,kick,0.7120776176452637,0.725149393081665,0.7185540795326233,0.574999988079071,18566.0,7507.0,7037.0,72541.0,25603.0
6,train,1,xstick,0.5018789172172546,0.27474287152290344,0.3550960123538971,0.6000000238418579,1202.0,1193.0,3173.0,100083.0,4375.0
6,train,2,snare,0.5886443257331848,0.7303081750869751,0.6518684029579163,0.44999998807907104,24125.0,16859.0,8909.0,55758.0,33034.0
6,train,3,hihat_pedal,0.2742899954319,0.4564676582813263,0.3426704406738281,0.32499998807907104,6239.0,16507.0,7429.0,75476.0,13668.0
