epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold,lr,micro_precision,micro_recall,tp,fp,fn,tn,tp_kick,fp_kick,fn_kick,tn_kick,tp_xstick,fp_xstick,fn_xstick,tn_xstick,tp_snare,fp_snare,fn_snare,tn_snare,tp_hihat_pedal,fp_hihat_pedal,fn_hihat_pedal,tn_hihat_pedal,tp_hihat_closed,fp_hihat_closed,fn_hihat_closed,tn_hihat_closed,tp_hihat_open,fp_hihat_open,fn_hihat_open,tn_hihat_open,tp_tom,fp_tom,fn_tom,tn_tom,tp_floor_tom,fp_floor_tom,fn_floor_tom,tn_floor_tom,tp_vibraslap,fp_vibraslap,fn_vibraslap,tn_vibraslap,tp_crash,fp_crash,fn_crash,tn_crash,tp_ride_bow,fp_ride_bow,fn_ride_bow,tn_ride_bow,tp_ride_bell,fp_ride_bell,fn_ride_bell,tn_ride_bell,tp_chinese_cymbal,fp_chinese_cymbal,fn_chinese_cymbal,tn_chinese_cymbal,tp_splash_cymbal,fp_splash_cymbal,fn_splash_cymbal,tn_splash_cymbal
23,204.81207251548767,0.15603482765590806,0.17025498550328222,0.7323806881904602,0.6323310136795044,0.07140904664993286,0.07451657205820084,0.5535714030265808,0.0003,0.7171096801757812,0.74831622838974,30110.0,11878.0,10127.0,511357.0,5842.0,1083.0,933.0,32390.0,720.0,216.0,329.0,38983.0,7169.0,1596.0,1631.0,29852.0,2023.0,2031.0,1848.0,34346.0,1015.0,1154.0,773.0,37306.0,972.0,568.0,693.0,38015.0,5312.0,1401.0,932.0,32603.0,3358.0,1245.0,745.0,34900.0,389.0,577.0,494.0,38788.0,112.0,390.0,363.0,39383.0,1324.0,779.0,626.0,37519.0,149.0,177.0,193.0,39729.0,542.0,107.0,237.0,39362.0,1183.0,554.0,330.0,38181.0
24,201.74424862861633,0.15405782833591747,0.1664319179879579,0.7372990250587463,0.6383328437805176,0.07140904664993286,0.07331686466932297,0.5892857313156128,0.0003,0.727706253528595,0.7471481561660767,30063.0,11249.0,10174.0,511986.0,5779.0,1034.0,996.0,32439.0,717.0,216.0,332.0,38983.0,7131.0,1648.0,1669.0,29800.0,2105.0,2078.0,1766.0,34299.0,964.0,937.0,824.0,37523.0,956.0,473.0,709.0,38110.0,5298.0,1285.0,946.0,32719.0,3404.0,1206.0,699.0,34939.0,382.0,506.0,501.0,38859.0,103.0,371.0,372.0,39402.0,1346.0,747.0,604.0,37551.0,142.0,148.0,200.0,39758.0,597.0,150.0,182.0,39319.0,1139.0,450.0,374.0,38285.0
25,203.14142847061157,0.15227212357041064,0.16763031402429893,0.7360197305679321,0.6351743340492249,0.07140904664993286,0.07397350668907166,0.5642856955528259,0.0003,0.723261833190918,0.7492357492446899,30147.0,11535.0,10090.0,511700.0,5760.0,918.0,1015.0,32555.0,730.0,224.0,319.0,38975.0,7143.0,1510.0,1657.0,29938.0,1996.0,1956.0,1875.0,34421.0,1042.0,1150.0,746.0,37310.0,980.0,561.0,685.0,38022.0,5370.0,1358.0,874.0,32646.0,3373.0,1313.0,730.0,34832.0,392.0,548.0,491.0,38817.0,91.0,347.0,384.0,39426.0,1342.0,854.0,608.0,37444.0,141.0,143.0,201.0,39763.0,587.0,150.0,192.0,39319.0,1200.0,503.0,313.0,38232.0
26,201.950599193573,0.15062342325223516,0.16277446317177505,0.7430915236473083,0.6450693011283875,0.07140904664993286,0.07398948073387146,0.5785713791847229,0.0003,0.730133593082428,0.7565176486968994,30440.0,11251.0,9797.0,511984.0,5812.0,947.0,963.0,32526.0,691.0,177.0,358.0,39022.0,7126.0,1340.0,1674.0,30108.0,2017.0,1855.0,1854.0,34522.0,1001.0,1078.0,787.0,37382.0,970.0,544.0,695.0,38039.0,5420.0,1346.0,824.0,32658.0,3564.0,1405.0,539.0,34740.0,383.0,483.0,500.0,38882.0,135.0,586.0,340.0,39187.0,1384.0,772.0,566.0,37526.0,141.0,111.0,201.0,39795.0,584.0,110.0,195.0,39359.0,1212.0,497.0,301.0,38238.0
27,202.4073965549469,0.14950563362461747,0.16415254512249747,0.7393723130226135,0.641081690788269,0.07140904664993286,0.07566658407449722,0.5642856359481812,0.0003,0.7185711860656738,0.7614136338233948,30637.0,11999.0,9600.0,511236.0,5865.0,1011.0,910.0,32462.0,704.0,197.0,345.0,39002.0,7235.0,1476.0,1565.0,29972.0,2117.0,2112.0,1754.0,34265.0,1087.0,1319.0,701.0,37141.0,930.0,441.0,735.0,38142.0,5338.0,1215.0,906.0,32789.0,3440.0,1235.0,663.0,34910.0,427.0,677.0,456.0,38688.0,130.0,633.0,345.0,39140.0,1419.0,920.0,531.0,37378.0,127.0,89.0,215.0,39817.0,577.0,98.0,202.0,39371.0,1241.0,576.0,272.0,38159.0
28,201.98203134536743,0.14818523424108793,0.1630349649696553,0.7416983246803284,0.6442904472351074,0.07140904664993286,0.07438701391220093,0.5892857313156128,0.0003,0.7268519401550293,0.7571638226509094,30466.0,11449.0,9771.0,511786.0,5881.0,998.0,894.0,32475.0,705.0,181.0,344.0,39018.0,7214.0,1459.0,1586.0,29989.0,1898.0,1692.0,1973.0,34685.0,1049.0,1115.0,739.0,37345.0,1005.0,621.0,660.0,37962.0,5397.0,1297.0,847.0,32707.0,3426.0,1201.0,677.0,34944.0,389.0,436.0,494.0,38929.0,157.0,796.0,318.0,38977.0,1468.0,987.0,482.0,37311.0,140.0,131.0,202.0,39775.0,600.0,143.0,179.0,39326.0,1137.0,392.0,376.0,38343.0
29,203.52597856521606,0.1464869986446207,0.17741106648410535,0.7350940108299255,0.6380120515823364,0.07140904664993286,0.07467807084321976,0.5678571462631226,0.00015,0.71900475025177,0.7519198656082153,30255.0,11824.0,9982.0,511411.0,5807.0,990.0,968.0,32483.0,686.0,177.0,363.0,39022.0,7125.0,1562.0,1675.0,29886.0,2103.0,2377.0,1768.0,34000.0,1130.0,1505.0,658.0,36955.0,916.0,453.0,749.0,38130.0,5336.0,1332.0,908.0,32672.0,3413.0,1156.0,690.0,34989.0,394.0,542.0,489.0,38823.0,80.0,275.0,395.0,39498.0,1321.0,704.0,629.0,37594.0,156.0,148.0,186.0,39758.0,601.0,151.0,178.0,39318.0,1187.0,452.0,326.0,38283.0
30,202.8068506717682,0.14187958306719492,0.1628120914234885,0.7446735501289368,0.6454237103462219,0.07140904664993286,0.07352805137634277,0.6071428656578064,0.00015,0.7339431643486023,0.7557223439216614,30408.0,11023.0,9829.0,512212.0,5847.0,944.0,928.0,32529.0,718.0,203.0,331.0,38996.0,7250.0,1549.0,1550.0,29899.0,2032.0,1952.0,1839.0,34425.0,1056.0,1167.0,732.0,37293.0,938.0,434.0,727.0,38149.0,5373.0,1343.0,871.0,32661.0,3430.0,1155.0,673.0,34990.0,413.0,540.0,470.0,38825.0,93.0,350.0,382.0,39423.0,1396.0,776.0,554.0,37522.0,136.0,93.0,206.0,39813.0,588.0,131.0,191.0,39338.0,1138.0,386.0,375.0,38349.0
31,203.5710642337799,0.14049225661961906,0.1621990467641444,0.744469165802002,0.6466683745384216,0.07140904664993286,0.073787160217762,0.5892857313156128,0.00015,0.73247230052948,0.7568655610084534,30454.0,11123.0,9783.0,512112.0,5839.0,974.0,936.0,32499.0,723.0,209.0,326.0,38990.0,7229.0,1437.0,1571.0,30011.0,2028.0,1839.0,1843.0,34538.0,1073.0,1203.0,715.0,37257.0,983.0,499.0,682.0,38084.0,5458.0,1387.0,786.0,32617.0,3305.0,1007.0,798.0,35138.0,330.0,379.0,553.0,38986.0,131.0,678.0,344.0,39095.0,1498.0,990.0,452.0,37308.0,134.0,73.0,208.0,39833.0,586.0,102.0,193.0,39367.0,1137.0,346.0,376.0,38389.0
32,204.1234531402588,0.13892423126515563,0.16080246248199745,0.7435503602027893,0.6461242437362671,0.07140904664993286,0.07415275275707245,0.5892857313156128,0.00015,0.729794442653656,0.7578348517417908,30493.0,11290.0,9744.0,511945.0,5837.0,900.0,938.0,32573.0,701.0,170.0,348.0,39029.0,7200.0,1472.0,1600.0,29976.0,2178.0,2238.0,1693.0,34139.0,1012.0,1025.0,776.0,37435.0,980.0,511.0,685.0,38072.0,5367.0,1204.0,877.0,32800.0,3299.0,1026.0,804.0,35119.0,428.0,622.0,455.0,38743.0,98.0,455.0,377.0,39318.0,1493.0,1017.0,457.0,37281.0,154.0,152.0,188.0,39754.0,562.0,75.0,217.0,39394.0,1184.0,423.0,329.0,38312.0
