epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold,lr,micro_precision,micro_recall,tp,fp,fn,tn,tp_kick,fp_kick,fn_kick,tn_kick,tp_xstick,fp_xstick,fn_xstick,tn_xstick,tp_snare,fp_snare,fn_snare,tn_snare,tp_hihat_closed,fp_hihat_closed,fn_hihat_closed,tn_hihat_closed,tp_hihat_open,fp_hihat_open,fn_hihat_open,tn_hihat_open,tp_hihat_pedal,fp_hihat_pedal,fn_hihat_pedal,tn_hihat_pedal,tp_tom,fp_tom,fn_tom,tn_tom,tp_floor_tom,fp_floor_tom,fn_floor_tom,tn_floor_tom,tp_vibraslap,fp_vibraslap,fn_vibraslap,tn_vibraslap,tp_crash,fp_crash,fn_crash,tn_crash,tp_ride_bow,fp_ride_bow,fn_ride_bow,tn_ride_bow,tp_ride_bell,fp_ride_bell,fn_ride_bell,tn_ride_bell,tp_chinese_cymbal,fp_chinese_cymbal,fn_chinese_cymbal,tn_chinese_cymbal,tp_splash_cymbal,fp_splash_cymbal,fn_splash_cymbal,tn_splash_cymbal
21,2658.7575826644897,0.11097518318075235,0.17437170246081576,0.6487835049629211,0.5117424130439758,0.04382031783461571,0.04584423825144768,0.6142857670783997,0.00015,0.6344623565673828,0.663766086101532,150195.0,86533.0,76082.0,4850936.0,36571.0,10077.0,12042.0,310149.0,2648.0,884.0,2746.0,362561.0,49004.0,11902.0,15483.0,292450.0,24907.0,22234.0,12780.0,308918.0,3452.0,2578.0,5628.0,357181.0,9313.0,20699.0,11310.0,327517.0,7780.0,2125.0,2820.0,356114.0,7216.0,6214.0,4014.0,351395.0,155.0,603.0,391.0,367690.0,120.0,611.0,697.0,367411.0,6434.0,4797.0,5391.0,352217.0,776.0,975.0,1202.0,365886.0,709.0,1685.0,796.0,365649.0,1110.0,1149.0,782.0,365798.0
22,2469.3384754657745,0.11206382439359204,0.17032966250452347,0.6513659358024597,0.518543541431427,0.04382031783461571,0.046633392572402954,0.5964285731315613,0.00015,0.631719708442688,0.6722733378410339,152120.0,88683.0,74157.0,4848786.0,36591.0,10313.0,12022.0,309913.0,2752.0,1105.0,2642.0,362340.0,48637.0,10726.0,15850.0,293626.0,26449.0,25384.0,11238.0,305768.0,3641.0,2454.0,5439.0,357305.0,9584.0,21098.0,11039.0,327118.0,7775.0,2087.0,2825.0,356152.0,7100.0,5488.0,4130.0,352121.0,119.0,402.0,427.0,367891.0,133.0,788.0,684.0,367234.0,6653.0,5164.0,5172.0,351850.0,832.0,1206.0,1146.0,365655.0,761.0,1559.0,744.0,365775.0,1093.0,909.0,799.0,366038.0
23,2578.8964943885803,0.10996455714660006,0.170217006685421,0.6515353918075562,0.5156329870223999,0.04382031783461571,0.04598270356655121,0.6249999403953552,0.00015,0.63621586561203,0.6676109433174133,151065.0,86378.0,75212.0,4851091.0,36377.0,10075.0,12236.0,310151.0,2739.0,977.0,2655.0,362468.0,48835.0,10794.0,15652.0,293558.0,25841.0,25336.0,11846.0,305816.0,3709.0,2717.0,5371.0,357042.0,9230.0,19166.0,11393.0,329050.0,7941.0,2464.0,2659.0,355775.0,7201.0,5589.0,4029.0,352020.0,136.0,394.0,410.0,367899.0,105.0,765.0,712.0,367257.0,6275.0,4317.0,5550.0,352697.0,792.0,1143.0,1186.0,365718.0,657.0,1375.0,848.0,365959.0,1227.0,1266.0,665.0,365681.0
24,2577.6064636707306,0.1094850772531576,0.17115234857462802,0.6542000770568848,0.5141512751579285,0.04382031783461571,0.04577026143670082,0.6214286088943481,0.00015,0.6402646899223328,0.6687555313110352,151324.0,85022.0,74953.0,4852447.0,36344.0,9811.0,12269.0,310415.0,2787.0,1187.0,2607.0,362258.0,48753.0,11919.0,15734.0,292433.0,26238.0,23280.0,11449.0,307872.0,3946.0,3124.0,5134.0,356635.0,9520.0,18861.0,11103.0,329355.0,7629.0,2094.0,2971.0,356145.0,6947.0,5926.0,4283.0,351683.0,97.0,247.0,449.0,368046.0,109.0,640.0,708.0,367382.0,6472.0,4743.0,5353.0,352271.0,808.0,1050.0,1170.0,365811.0,590.0,1162.0,915.0,366172.0,1084.0,978.0,808.0,365969.0
25,2586.899649143219,0.10976521378989641,0.176448020513953,0.6563853025436401,0.5169969201087952,0.04382031783461571,0.04621489718556404,0.5821428298950195,7.5e-05,0.6393803358078003,0.6743195056915283,152583.0,86059.0,73694.0,4851410.0,37047.0,10753.0,11566.0,309473.0,2772.0,1188.0,2622.0,362257.0,50163.0,12454.0,14324.0,291898.0,25230.0,22931.0,12457.0,308221.0,3849.0,2785.0,5231.0,356974.0,8924.0,16958.0,11699.0,331258.0,8081.0,2615.0,2519.0,355624.0,6988.0,5896.0,4242.0,351713.0,151.0,604.0,395.0,367689.0,183.0,1238.0,634.0,366784.0,6580.0,4913.0,5245.0,352101.0,814.0,1141.0,1164.0,365720.0,656.0,1481.0,849.0,365853.0,1145.0,1102.0,747.0,365845.0
26,2564.19690823555,0.10732299389997962,0.16827229444598577,0.6622533202171326,0.523064911365509,0.04382031783461571,0.045110080391168594,0.6142857670783997,7.5e-05,0.6527859568595886,0.6719993352890015,152058.0,80879.0,74219.0,4856590.0,36713.0,9459.0,11900.0,310767.0,2751.0,1040.0,2643.0,362405.0,49569.0,11979.0,14918.0,292373.0,26835.0,25359.0,10852.0,305793.0,3797.0,2663.0,5283.0,357096.0,8447.0,14287.0,12176.0,333929.0,7744.0,1973.0,2856.0,356266.0,7058.0,5068.0,4172.0,352541.0,118.0,280.0,428.0,368013.0,182.0,1604.0,635.0,366418.0,6173.0,3658.0,5652.0,353356.0,879.0,1221.0,1099.0,365640.0,585.0,1072.0,920.0,366262.0,1207.0,1216.0,685.0,365731.0
27,2562.340701818466,0.10472455203692267,0.16906706210354605,0.662065863609314,0.5254142880439758,0.04382031783461571,0.04642521217465401,0.5928571820259094,7.5e-05,0.643491804599762,0.6817440390586853,154263.0,85465.0,72014.0,4852004.0,36803.0,9320.0,11810.0,310906.0,2768.0,985.0,2626.0,362460.0,50082.0,12496.0,14405.0,291856.0,26939.0,25191.0,10748.0,305961.0,3926.0,2711.0,5154.0,357048.0,9104.0,17676.0,11519.0,330540.0,7871.0,2247.0,2729.0,355992.0,7279.0,5856.0,3951.0,351753.0,153.0,534.0,393.0,367759.0,155.0,1066.0,662.0,366956.0,6660.0,4308.0,5165.0,352706.0,761.0,798.0,1217.0,366063.0,624.0,1217.0,881.0,366117.0,1138.0,1060.0,754.0,365887.0
28,2570.6173193454742,0.10362302588558239,0.16803178742237362,0.6620174050331116,0.5247493982315063,0.04382031783461571,0.04670621082186699,0.5964285731315613,7.5e-05,0.6415649652481079,0.6838167309761047,154732.0,86447.0,71545.0,4851022.0,37313.0,10366.0,11300.0,309860.0,2734.0,1024.0,2660.0,362421.0,50143.0,12384.0,14344.0,291968.0,26369.0,23429.0,11318.0,307723.0,3921.0,2846.0,5159.0,356913.0,9440.0,18675.0,11183.0,329541.0,7733.0,1923.0,2867.0,356316.0,7499.0,6168.0,3731.0,351441.0,138.0,555.0,408.0,367738.0,176.0,1139.0,641.0,366883.0,6608.0,4417.0,5217.0,352597.0,845.0,1019.0,1133.0,365842.0,675.0,1379.0,830.0,365955.0,1138.0,1123.0,754.0,365824.0
29,2583.620907306671,0.10340543862736996,0.17018152433174422,0.6602331399917603,0.5241085290908813,0.04382031783461571,0.04558047652244568,0.6071428060531616,7.5e-05,0.6474851965904236,0.6734930872917175,152396.0,82970.0,73881.0,4854499.0,36722.0,9769.0,11891.0,310457.0,2794.0,1092.0,2600.0,362353.0,49115.0,10359.0,15372.0,293993.0,26083.0,23734.0,11604.0,307418.0,3778.0,2795.0,5302.0,356964.0,9006.0,17167.0,11617.0,331049.0,7956.0,2332.0,2644.0,355907.0,7122.0,5616.0,4108.0,351993.0,165.0,593.0,381.0,367700.0,162.0,1172.0,655.0,366850.0,6893.0,4957.0,4932.0,352057.0,840.0,1105.0,1138.0,365756.0,671.0,1318.0,834.0,366016.0,1089.0,961.0,803.0,365986.0
30,2567.5073211193085,0.10377915221638719,0.16728668937628202,0.665253758430481,0.529123842716217,0.04382031783461571,0.04591008275747299,0.5964285135269165,7.5e-05,0.650113046169281,0.68111652135849,154121.0,82947.0,72156.0,4854522.0,37066.0,9622.0,11547.0,310604.0,2838.0,1167.0,2556.0,362278.0,50165.0,12055.0,14322.0,292297.0,26687.0,24900.0,11000.0,306252.0,3787.0,2455.0,5293.0,357304.0,8727.0,15782.0,11896.0,332434.0,7796.0,1973.0,2804.0,356266.0,7362.0,5634.0,3868.0,351975.0,128.0,312.0,418.0,367981.0,185.0,1251.0,632.0,366771.0,6709.0,4234.0,5116.0,352780.0,887.0,1295.0,1091.0,365566.0,653.0,1217.0,852.0,366117.0,1131.0,1050.0,761.0,365897.0
