epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
4,train,8,vibraslap,0.0555555559694767,0.4000000059604645,0.09756097942590714,0.5,2.0,34.0,3.0,81.0,5.0
4,train,9,crash,0.3333333432674408,0.20000000298023224,0.25,0.574999988079071,1.0,2.0,4.0,113.0,5.0
4,train,10,ride_bow,0.23076923191547394,0.1764705926179886,0.20000000298023224,0.574999988079071,3.0,10.0,14.0,93.0,17.0
4,train,11,ride_bell,0.0555555559694767,0.1428571492433548,0.07999999821186066,0.5249999761581421,1.0,17.0,6.0,96.0,7.0
4,train,12,chinese_cymbal,0.05714285746216774,0.4000000059604645,0.10000000149011612,0.5,2.0,33.0,3.0,82.0,5.0
4,train,13,splash_cymbal,0.0357142873108387,0.6000000238418579,0.0674157366156578,0.10000000149011612,3.0,81.0,2.0,34.0,5.0
5,train,0,kick,0.3947368562221527,0.957446813583374,0.5590062141418457,0.10000000149011612,45.0,69.0,2.0,4.0,47.0
5,train,1,xstick,0.07894736528396606,1.0,0.146341472864151,0.10000000149011612,6.0,70.0,0.0,44.0,6.0
5,train,2,snare,0.3199999928474426,0.9142857193946838,0.4740740656852722,0.10000000149011612,32.0,68.0,3.0,17.0,35.0
5,train,3,hihat_pedal,0.15740740299224854,0.8095238208770752,0.26356589794158936,0.10000000149011612,17.0,91.0,4.0,8.0,21.0
5,train,4,hihat_closed,0.16326530277729034,0.8421052694320679,0.27350425720214844,0.2749999761581421,16.0,82.0,3.0,19.0,19.0
5,train,5,hihat_open,0.07999999821186066,1.0,0.14814813435077667,0.10000000149011612,6.0,69.0,0.0,45.0,6.0
5,train,6,tom,0.09433962404727936,0.8333333134651184,0.16949152946472168,0.10000000149011612,10.0,96.0,2.0,12.0,12.0
5,train,7,floor_tom,0.07407407462596893,0.75,0.13483145833015442,0.10000000149011612,6.0,75.0,2.0,37.0,8.0
5,train,8,vibraslap,0.08695652335882187,0.4000000059604645,0.1428571492433548,0.47499996423721313,2.0,21.0,3.0,94.0,5.0
5,train,9,crash,0.1666666716337204,0.20000000298023224,0.1818181872367859,0.5249999761581421,1.0,5.0,4.0,110.0,5.0
5,train,10,ride_bow,0.27272728085517883,0.1764705926179886,0.2142857164144516,0.625,3.0,8.0,14.0,95.0,17.0
5,train,11,ride_bell,0.03703703731298447,0.1428571492433548,0.05882352963089943,0.550000011920929,1.0,26.0,6.0,87.0,7.0
